date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:23	25299/25299	---MCZ	200	added ('OK')	text/html	etag:cacheable:fb062b8237ec82c947336160b3f85ba9	https://duke-16.myshopify.com/products/eye-eye	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/eye-eye.html	(from https://duke-16.myshopify.com/)
15:48:24	24087/24087	---M--	200	added ('OK')	image/jpeg	etag:%229f1122a2f77c630bda770a815b724d42%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-eyeeye_large.jpg?v=1371219644	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-eyeeye_largecdb7.jpg	(from https://duke-16.myshopify.com/)
15:48:25	56327/56327	---MCZ	200	added ('OK')	text/html	etag:cacheable:f52225b9db93baf1fa1ac33cca535368	https://duke-16.myshopify.com/collections/new-arrivals/products/foundation	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/foundation.html	(from https://duke-16.myshopify.com/)
15:48:27	22111/22111	---M--	200	added ('OK')	image/jpeg	etag:%22da2c8de60e9746cae631f8d8594963e2%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-foundation_large.jpg?v=1371219438	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-foundation_large7f69.jpg	(from https://duke-16.myshopify.com/)
15:48:27	25358/25358	---MCZ	200	added ('OK')	text/html	etag:cacheable:3b7e447f482845bf049fa728ff14c2c9	https://duke-16.myshopify.com/products/foundation	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/foundation.html	(from https://duke-16.myshopify.com/)
15:48:29	56323/56323	---MCZ	200	added ('OK')	text/html	etag:cacheable:be75e23f83b17478089510ed7d5ccb11	https://duke-16.myshopify.com/collections/new-arrivals/products/four-track	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/four-track.html	(from https://duke-16.myshopify.com/)
15:48:29	25487/25487	---MCZ	200	added ('OK')	text/html	etag:cacheable:7c6bbabe7268ce17b3d9d6d289c0a940	https://duke-16.myshopify.com/products/four-track	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/four-track.html	(from https://duke-16.myshopify.com/)
15:48:30	56300/56300	---MCZ	200	added ('OK')	text/html	etag:cacheable:bf3e0b2b82b515b57e8954671cc5fc7a	https://duke-16.myshopify.com/collections/new-arrivals/products/kennedy	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/kennedy.html	(from https://duke-16.myshopify.com/)
15:48:33	25279/25279	---MCZ	200	added ('OK')	text/html	etag:cacheable:d0faa35c5bcb23367208193338d0b910	https://duke-16.myshopify.com/products/kennedy	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/kennedy.html	(from https://duke-16.myshopify.com/)
15:48:33	23084/23084	---M--	200	added ('OK')	image/jpeg	etag:%2218fac4132b5a7ae46a4d9543ff7fd3c9%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-kennedy_large.jpg?v=1371219471	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-kennedy_largefd20.jpg	(from https://duke-16.myshopify.com/)
